name,brand,category,price,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,ingredients,allergens,organic,gluten_free,description
"Savory Berry Desserts","HealthyChoice","Desserts",11.32,444,24.0,6.9,18.2,11.5,14.5,889,"natural ingredients","none",false,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",11.41,119,13.8,18.4,48.3,12.8,10.2,966,"natural ingredients","none",true,false,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",34.23,371,17.3,2.6,43.2,9.6,4.8,385,"natural ingredients","none",false,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",20.67,377,10.1,13.0,22.3,5.1,14.1,74,"natural ingredients","none",false,false,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",10.73,100,22.8,16.3,19.1,11.7,25.3,330,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",19.24,396,18.4,6.8,39.1,7.7,11.7,1030,"natural ingredients","none",false,false,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",14.73,241,21.0,4.3,28.8,13.6,17.8,803,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",11.56,266,3.3,19.1,12.7,11.0,21.8,823,"natural ingredients","none",true,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",9.57,276,25.4,7.9,24.2,14.7,16.1,598,"natural ingredients","none",false,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",15.53,302,15.3,13.1,34.2,15.8,17.5,734,"natural ingredients","none",false,false,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",27.12,73,12.8,9.2,17.3,4.7,1.7,281,"natural ingredients","none",true,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",25.49,339,16.8,11.6,24.4,8.2,5.8,1048,"natural ingredients","none",true,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",9.26,159,11.6,9.1,12.4,14.8,13.1,723,"natural ingredients","none",true,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",13.85,95,20.0,13.8,26.4,2.3,12.6,657,"natural ingredients","none",false,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",19.24,266,15.6,12.3,21.8,2.3,24.0,108,"natural ingredients","none",true,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",30.40,63,12.7,20.0,26.1,7.5,12.7,889,"natural ingredients","none",false,false,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",24.86,50,13.4,18.4,37.1,11.4,16.6,624,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",10.50,370,18.6,9.9,9.2,6.7,1.6,790,"natural ingredients","none",false,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",11.03,243,24.2,19.4,40.4,5.8,14.2,566,"natural ingredients","none",true,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",5.75,256,6.3,13.3,53.0,10.8,5.0,201,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",16.59,75,17.1,15.3,30.4,5.6,21.7,468,"natural ingredients","none",false,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",33.60,174,26.9,4.3,31.7,9.3,5.0,318,"natural ingredients","none",true,false,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",21.59,187,6.3,10.5,8.4,11.3,10.0,760,"natural ingredients","none",false,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",19.17,379,21.9,15.3,53.9,4.3,2.7,675,"natural ingredients","none",true,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",11.24,296,17.3,16.9,36.4,12.6,24.4,823,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",33.79,238,16.4,11.9,32.8,13.1,6.8,432,"natural ingredients","none",false,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",5.53,359,12.6,1.5,51.0,8.3,7.5,878,"natural ingredients","none",false,false,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",26.60,80,19.2,16.8,21.2,1.5,6.9,855,"natural ingredients","none",true,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",32.45,421,7.8,11.4,25.8,12.6,20.1,396,"natural ingredients","none",true,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",7.81,366,18.0,7.5,27.4,4.8,7.6,946,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",19.54,425,23.1,15.6,45.8,10.5,24.6,936,"natural ingredients","none",false,false,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",7.66,424,24.9,9.7,49.9,6.2,7.5,324,"natural ingredients","none",false,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",23.44,216,17.3,20.2,38.2,12.1,3.3,395,"natural ingredients","none",false,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",14.31,436,25.2,19.4,17.1,12.0,3.3,196,"natural ingredients","none",false,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",16.78,297,20.9,19.4,20.3,5.9,17.6,585,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",10.46,269,3.0,6.2,39.7,12.2,2.0,510,"natural ingredients","none",false,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",11.65,57,5.3,5.1,6.4,10.7,14.1,708,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",17.55,131,12.1,14.0,35.7,13.0,1.2,174,"natural ingredients","none",false,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",7.31,64,12.4,12.2,44.7,13.4,11.7,663,"natural ingredients","none",false,false,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",21.72,91,8.2,2.2,39.3,1.9,25.6,245,"natural ingredients","none",false,false,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",26.16,347,11.6,13.8,23.0,13.9,24.5,242,"natural ingredients","none",true,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",9.44,148,18.7,7.8,16.5,6.6,6.8,482,"natural ingredients","none",true,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",21.28,303,15.9,11.1,49.9,7.9,8.9,598,"natural ingredients","none",false,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",26.29,446,10.7,19.9,18.4,12.1,11.4,442,"natural ingredients","none",false,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",17.73,389,9.9,6.6,34.9,2.4,21.3,672,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",30.26,87,13.5,14.8,11.1,4.4,3.9,294,"natural ingredients","none",true,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",19.41,298,3.0,6.5,50.5,12.7,25.8,758,"natural ingredients","none",false,false,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",34.14,342,11.9,12.8,33.2,6.2,10.6,565,"natural ingredients","none",false,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",6.19,90,15.9,5.3,53.7,14.1,18.0,142,"natural ingredients","none",false,false,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",18.14,446,3.4,4.7,37.0,8.2,15.2,442,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",34.70,92,10.0,15.9,48.0,1.3,20.6,404,"natural ingredients","none",true,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",29.46,208,15.5,16.0,14.1,1.8,16.2,133,"natural ingredients","none",false,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",27.83,114,7.6,19.4,14.8,2.9,6.2,132,"natural ingredients","none",false,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",17.79,108,2.4,4.9,24.4,14.8,9.0,1027,"natural ingredients","none",false,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",15.13,383,12.5,6.5,13.4,6.8,1.6,620,"natural ingredients","none",false,false,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",16.33,338,6.5,18.6,26.2,11.6,11.8,404,"natural ingredients","none",true,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",18.49,217,10.7,6.4,9.1,13.7,6.1,105,"natural ingredients","none",false,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",31.61,150,9.2,17.9,45.9,4.7,6.2,582,"natural ingredients","none",true,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",22.38,348,22.2,8.2,34.5,6.8,17.4,840,"natural ingredients","none",true,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",17.45,353,7.2,6.7,20.5,4.8,6.6,513,"natural ingredients","none",true,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",27.26,237,10.6,11.7,50.3,6.9,12.5,290,"natural ingredients","none",false,false,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",22.45,353,10.0,20.2,40.9,15.7,10.1,248,"natural ingredients","none",false,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",26.75,379,10.1,2.5,48.3,5.6,2.7,103,"natural ingredients","none",true,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",20.19,383,21.2,5.6,24.7,4.2,11.8,682,"natural ingredients","none",false,false,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",20.10,273,23.9,7.9,40.2,9.8,11.3,945,"natural ingredients","none",true,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",21.99,165,13.1,4.4,51.2,4.0,3.2,89,"natural ingredients","none",false,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",25.67,52,23.5,13.5,15.0,3.4,20.6,430,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",17.87,401,11.2,7.6,16.3,3.0,7.3,140,"natural ingredients","none",false,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",5.80,168,19.7,14.9,46.8,1.7,5.3,332,"natural ingredients","none",false,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",8.06,187,16.3,4.3,28.7,12.8,19.7,1030,"natural ingredients","none",false,false,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",13.63,193,3.8,4.2,10.2,8.1,3.9,984,"natural ingredients","none",true,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",20.03,360,5.0,12.8,44.7,13.6,14.1,250,"natural ingredients","none",true,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",11.96,418,14.1,13.8,47.4,7.5,21.8,128,"natural ingredients","none",true,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",19.15,421,19.6,2.8,45.9,15.5,24.9,708,"natural ingredients","none",true,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",33.30,342,10.8,9.3,15.0,8.1,3.1,727,"natural ingredients","none",true,false,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",25.97,185,24.3,14.4,32.6,12.5,14.6,687,"natural ingredients","none",false,false,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",8.96,334,24.0,19.9,23.4,12.5,25.6,860,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",6.09,258,7.9,7.4,28.5,8.2,22.0,1035,"natural ingredients","none",true,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",16.04,107,21.9,11.5,32.8,15.0,19.4,312,"natural ingredients","none",false,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",16.16,370,17.1,19.9,46.7,13.1,3.9,585,"natural ingredients","none",true,false,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",5.68,250,3.8,8.4,40.5,5.1,18.1,828,"natural ingredients","none",true,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",29.83,175,23.4,15.9,44.8,7.1,23.4,534,"natural ingredients","none",false,false,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",26.36,229,20.0,14.1,23.3,12.1,13.9,227,"natural ingredients","none",true,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",19.74,402,4.4,10.2,33.3,8.8,16.8,739,"natural ingredients","none",false,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",30.38,394,12.7,17.4,51.3,11.9,24.8,52,"natural ingredients","none",true,false,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",13.78,141,7.8,19.2,9.0,6.0,8.0,873,"natural ingredients","none",false,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",32.19,323,14.2,9.9,32.6,7.3,1.8,236,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",14.33,178,8.2,19.3,32.8,4.6,16.5,728,"natural ingredients","none",false,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",33.86,304,17.5,1.5,7.7,10.5,13.3,323,"natural ingredients","none",false,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",5.98,310,10.0,19.1,22.2,1.9,9.7,77,"natural ingredients","none",true,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",33.73,317,11.2,9.0,30.8,5.4,3.3,248,"natural ingredients","none",false,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",26.55,228,5.3,9.8,34.6,13.1,23.0,438,"natural ingredients","none",true,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",29.66,357,26.9,12.8,18.7,8.3,4.8,512,"natural ingredients","none",true,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",21.95,351,8.5,16.3,27.7,4.8,12.6,755,"natural ingredients","none",false,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",6.40,238,25.0,9.5,40.3,10.9,14.3,505,"natural ingredients","none",false,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",26.40,397,5.4,10.3,13.5,14.3,16.9,922,"natural ingredients","none",true,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",19.29,213,15.6,3.0,18.3,11.6,11.3,778,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",24.69,214,24.1,1.7,14.9,7.3,19.8,676,"natural ingredients","none",true,false,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",33.51,361,17.5,3.9,16.5,14.2,3.1,795,"natural ingredients","none",true,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",29.15,347,19.6,10.1,23.5,6.9,20.7,81,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",20.32,201,18.8,18.7,14.9,3.0,13.2,143,"natural ingredients","none",false,true,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",19.32,137,25.2,16.9,8.2,4.3,11.6,936,"natural ingredients","none",false,true,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",11.74,369,2.7,12.2,16.4,12.9,2.1,1035,"natural ingredients","none",true,false,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",19.71,113,11.4,11.3,41.3,7.4,24.0,741,"natural ingredients","none",false,true,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",31.24,351,25.1,8.4,44.7,12.3,24.0,1005,"natural ingredients","none",false,false,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",26.25,70,15.6,18.4,10.3,4.0,13.1,530,"natural ingredients","none",true,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",23.60,154,16.2,18.5,35.5,8.4,5.9,736,"natural ingredients","none",false,true,"Healthy crispy kale beverages"
"Creamy Sweet Potato Soups","SuperSeeds","Soups",24.85,254,19.3,17.9,52.7,5.4,20.0,369,"natural ingredients","none",true,true,"Healthy creamy sweet potato soups"
"Spicy Lentil Entrees","DeliMax","Entrees",25.04,382,12.9,3.0,46.2,13.8,3.8,108,"natural ingredients","none",true,true,"Healthy spicy lentil entrees"
"Sweet Mushroom Breakfast","FitnessFuel","Breakfast",16.24,209,19.8,11.8,41.3,2.0,25.7,883,"natural ingredients","none",false,true,"Healthy sweet mushroom breakfast"
"Savory Berry Desserts","HealthyChoice","Desserts",7.66,101,13.3,18.2,46.7,11.4,24.7,798,"natural ingredients","none",false,false,"Healthy savory berry desserts"
"Organic Quinoa Protein","NutriMax","Protein Bars",15.52,171,16.5,19.2,21.9,5.9,9.0,902,"natural ingredients","none",true,false,"Healthy organic quinoa protein"
"Fresh Avocado Smoothies","KetoLife","Smoothies",12.20,371,26.1,16.0,38.6,9.6,2.3,932,"natural ingredients","none",true,true,"Healthy fresh avocado smoothies"
"Premium Salmon Salads","DairyFresh","Salads",25.99,97,24.4,10.1,53.8,9.3,13.8,629,"natural ingredients","none",true,false,"Healthy premium salmon salads"
"Natural Chicken Bowls","PowerSnack","Bowls",23.58,69,5.1,20.9,53.6,2.6,2.1,521,"natural ingredients","none",true,true,"Healthy natural chicken bowls"
"Artisan Tofu Snacks","GreenLife","Snacks",33.50,376,7.3,11.8,14.3,3.1,7.2,235,"natural ingredients","none",true,true,"Healthy artisan tofu snacks"
"Crispy Kale Beverages","SushiMax","Beverages",13.18,127,20.6,13.7,38.8,1.7,21.6,779,"natural ingredients","none",true,true,"Healthy crispy kale beverages"
